Date,Period_Day,Driver_1,Name_Driver_1,Linear_Rate_1,Rate_1,Modifier_1,Value_1,Driver_2,Name_Driver_2,Rate_2,Modifier_2,Value_2,Rate_Tree,Modifier_Tree,Tree_Value,High,Low,Linear_Forecast,Max_Forecast,Tree_Forecast,Best_Forecast,Actual_Rev,Linear_Smape,Max_Smape,Tree_Smape,Best_Smape
2016-12-08,10_3,273_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '273', 'Segment_Id': '0'}",25.056,24.868,1.00757987787,1103.0,854_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '854', 'Segment_Id': '0'}",13.405,0.0,3249.6,24.8679945055,1.00757987787,1103.0,34119.09,1932.14,27637.309426,27637.3155324,27637.309426,27637.3155324,34119.09,0.104957229278,0.104957120022,0.104957229278,0.104957120022
2016-12-09,10_4,260_1038_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '260', 'Segment_Id': '1038'}",0.898,0.869,1.03296922806,38273.6,258_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '258', 'Segment_Id': '0'}",1.15,0.0,23260.8,0.869020890835,1.03296922806,38273.6,63785.74,0.0,34357.1328884,34356.3069599,34357.1328884,34357.1328884,28664.54,0.0903275433282,0.0903156214879,0.0903275433282,0.0903275433282
2016-12-10,10_5,273_281_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '273', 'Segment_Id': '281'}",63.311,92.215,0.686554292251,511.0,854_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '854', 'Segment_Id': '0'}",23.935,0.0,3328.8,92.2148772396,0.686554292251,511.0,77288.23,19500.89,32351.6756067,32351.7186746,32351.6756067,32351.7186746,41386.36,0.122524072129,0.1225234165,0.122524072129,0.1225234165
2016-12-11,10_6,261_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '261', 'Segment_Id': '0'}",4.027,4.187,0.950009048713,895.13,854_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '854', 'Segment_Id': '0'}",6.733,0.590816695215,3328.8,4.18734755144,0.961592635735,895.13,25364.95,2196.36,3604.26114695,13241.862571,3604.26114695,13241.862571,4152.27,0.0706512798918,0.522566591573,0.0706512798918,0.522566591573
2016-12-12,10_0,50_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '50', 'Segment_Id': '0'}",0.0,0.0,0.0,59162.23,261_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '261', 'Segment_Id': '0'}",0.0,0.0,6635.65,0.0,0.0,59162.23,0.0,0.0,0.0,0.0,0.0,0.0,11033.19,1.0,1.0,1.0,1.0
2016-12-13,10_1,259_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '259', 'Segment_Id': '0'}",0.078,0.101,0.767585048365,168425.927,260_1039_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '260', 'Segment_Id': '1039'}",1.229,0.0,5662.4,0.101245235693,0.767585048365,168425.927,35870.91,0.0,13089.1079259,13057.4035555,13089.1079259,13089.1079259,19261.81,0.190804541874,0.19197269246,0.190804541874,0.190804541874
2016-12-14,10_2,259_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '259', 'Segment_Id': '0'}",0.073,0.072,1.01063405209,218191.36,269_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '269', 'Segment_Id': '0'}",0.117,0.0,107060.0,0.0721655052917,1.01682247796,218191.36,25599.09,0.0,16010.7746279,15876.8365167,16010.7746279,15876.8365167,16328.48,0.0098241402219,0.0140238796621,0.0098241402219,0.0140238796621
2016-12-15,10_3,273_0_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '273', 'Segment_Id': '0'}",25.056,24.868,1.00757987787,764.0,854_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '854', 'Segment_Id': '0'}",13.405,0.0,1955.2,24.8679945055,1.00757987787,764.0,34119.09,1932.14,19143.1590222,19143.1632518,19143.1590222,19143.1632518,22899.47,0.0893452922703,0.0893451826787,0.0893452922703,0.0893451826787
2016-12-16,10_4,260_1038_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '260', 'Segment_Id': '1038'}",0.898,0.869,1.03296922806,32421.6,258_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '258', 'Segment_Id': '0'}",1.15,0.0,19352.8,0.869020890835,1.03296922806,32421.6,63785.74,0.0,29103.9572879,29103.2576431,29103.9572879,29103.9572879,26895.86,0.0394304373637,0.0394184361475,0.0394304373637,0.0394304373637
2016-12-17,10_5,273_281_1_3,"{'Type': '3', 'Offset': '1', 'H_Id': '273', 'Segment_Id': '281'}",63.311,92.215,0.686554292251,210.0,854_0_0_3,"{'Type': '3', 'Offset': '0', 'H_Id': '854', 'Segment_Id': '0'}",23.935,0.0,2501.6,92.2148772396,0.686554292251,210.0,77288.23,19500.89,13295.2091534,19500.89,19500.89,19500.89,27875.85,0.354147820007,0.176773665727,0.176773665727,0.176773665727
