Date,258_0_RV,259_0_RV,260_0_RV,260_1038_RV,260_1039_RV,260_1040_RV,261_0_RV,265_0_RV,266_0_RV,269_0_RV,270_0_RV,273_0_RV,273_278_RV,273_279_RV,273_280_RV,273_281_RV,50_0_RV,50_224_RV,50_225_RV,50_226_RV,50_227_RV,50_228_RV,854_0_RV
5/2/17,13124,29740.809,17200,16400,800,0,1083.3,38452.798,32876.8,57409.09,1984,3120.6,0,0,0,3120.6,218959.54,139454.55,8929.54,39868.18,18295.45,12411.82,2676.8
5/3/17,13701.6,72266.079,39135.2,35856,3279.2,0,1695.3,67265.579,104109.6,138598.19,4464,0,0,0,0,0,264231.24,172132.15,7355.45,62954.54,0,21789.09,2501.6
5/4/17,18749.6,33094.959,27017.6,25208,1809.6,0,5784.7,65491.029,60484.8,128389.09,4160,368.2,0,0,0,368.2,292844.84,79628.03,2000,161372.73,30422.73,19421.36,344.8
5/5/17,14496,36595.999,23220,22140,1080,0,674.78,41715.6,222188,109318.18,1344,359.09,0,0,0,359.09,217712.05,44619.1,11782.05,148063.64,3163.64,10083.63,517.6
5/6/17,12780,29079.209,0,0,0,0,1778.26,69184.4,10957.6,0,3200,184,0,0,0,184,127492.51,93025.46,14045.23,4750,0,15671.82,99.2
5/7/17,15972,26551.2,0,0,0,0,4381.91,33291.999,18917.6,0,960,5611.6,0,0,0,5611.6,180682.18,120531.27,5851.82,8886.37,39913.64,5499.09,891.2
5/8/17,19648.8,39151.589,5504,5248,256,0,884.18,50227.61,2884,20145.45,1920,2066.24,0,0,0,2066.24,299635.57,232976.02,12113.18,47588.18,0,6958.18,2328
5/9/17,21108,55461.119,8056,7512,544,0,2733.04,69370.418,56178.4,41440,3216,3954.98,0,0,0,1914.98,366801.24,292323.06,13948.64,50013.64,0,8475.91,1030.4
5/10/17,21408,63815.519,6011.2,5144.8,866.4,0,3366.96,85717.589,52751.2,110651.82,2816,3080,0,0,0,3080,375737.01,192561.55,31894.55,98545.45,44963.63,7771.82,2023.6
5/11/17,18972,62701.499,12524,11956,568,0,2116.86,88366.37,50859.2,129663.63,4096,216.2,0,0,0,216.2,275464.7,151720.51,14987.73,31668.18,66740.9,10347.36,1230.4
5/12/17,18112,39023.669,30555.2,28359.2,1496,0,12.87,73124.09,43790.4,127038.19,2944,1867.95,0,0,0,1867.95,193264.63,93549.17,16905,50304.55,22695.45,9810.46,227.2
5/13/17,19800,63228.23,0,0,0,0,1568.17,74701.209,187187.2,0,2144,12568.2,0,0,0,318.2,213466.38,119919.56,4831.82,52581.81,23550,10933.19,304
5/14/17,5196,4940.64,0,0,0,0,4189.56,35329.989,0,0,1856,0,0,0,0,0,51948.95,36512.59,8114.55,0,2254.54,5067.27,132
5/15/17,10468,26213.6,0,0,0,0,462.61,62649.839,6128.8,5000,2976,329,0,0,0,329,124695.11,88876.94,2920,0,24731.82,8166.36,332.8
5/16/17,14183.2,28861.218,1176,920,256,0,539.13,63671.129,0,27818.18,3232,8036.16,0,0,0,4356.16,144905.74,89293.01,13379.1,0,29727.27,8826.36,4237.04
5/17/17,12814,318880.638,0,0,0,0,1092.7,172119.598,263972.8,0,1920,0,0,0,0,0,105029.79,68497.97,13382.73,0,15190.91,7958.18,474.4
5/18/17,17112,31803.367,0,0,0,0,2693.57,69876.79,0,0,2816,5509.13,0,0,0,5509.13,166338.95,71004.41,32699.09,10277.27,48645.45,3712.72,676
5/19/17,21984,60300.4,0,0,0,0,1697.21,66218.387,48725.6,3181.82,5120,6292.82,0,0,0,5397.82,174234.2,96338.75,23769.55,9177.27,32790.91,11262.73,1366.4
5/20/17,24696,52633.688,0,0,0,0,1136.35,76733.609,0,0,5760,5190.89,0,0,0,5190.89,233879.36,148832.54,27079.55,13872.73,32018.18,12076.36,628.8
5/21/17,14760,18983.519,0,0,0,0,5648.52,28764,0,0,640,1850.27,0,0,0,1850.27,154834.37,75947.1,21292.73,27795.46,22718.18,7080.91,972
5/22/17,20064,46363.6,3428,2780,648,0,0,53098.389,106689.6,51099.99,4352,2522.8,0,0,0,2522.8,360510.91,275580.45,31077.27,39186.36,8290.91,6375.91,3081.6
5/23/17,17952,84636.2,22056.8,20448,1608.8,0,2294.09,58404.627,161096.8,136877.27,6528,3700.69,0,0,0,3700.69,328411.12,240963.39,26403.18,36254.55,18081.82,6708.18,1544
5/24/17,10580,14702.229,36808,35096,1712,0,2905.39,41211.199,37735.2,113254.54,3600,1246.2,0,0,0,1246.2,123350.81,80572.26,14384,272.73,19863.64,8258.18,368
5/25/17,10572,0,0,0,0,0,843.83,32512.789,0,0,2752,1369,0,0,0,1369,101932.38,67406.92,18326.36,0,10700,5499.09,732
5/26/17,23486,23385.519,0,0,0,0,626.61,26425.76,67946.4,3181.82,3200,8846.58,0,0,0,7296.58,203072.64,81086.69,26491.41,5727.27,80568.18,7649.09,396
5/27/17,19584,40767,0,0,0,0,599.48,42584.02,142592.8,0,4608,232.4,0,0,0,232.4,196082.22,94862.78,38724.9,12204.55,40095.45,10194.55,876
5/28/17,6688,8791.04,0,0,0,0,2082.79,16578.4,0,0,320,4564.47,0,0,0,4564.47,98209.19,68823.74,18340.91,2486.36,3059.09,5499.09,232.16
5/29/17,18752,36612.799,4083.2,3048,635.2,200,505.74,49623.189,3040,29636.36,1600,4304.6,0,0,0,1104.6,541192.19,361018.55,5810,102181.82,64963.64,7218.18,2060.8
5/30/17,18700,47835.2,23637.6,6772,1185.6,7840,1334.43,53936.409,0,65277.27,2904,2179.4,0,0,0,2179.4,629353.94,571327.11,5109.09,17881.82,23100,11935.91,0
5/31/17,20252,71326.409,15592,14160,872,200,1370.61,57489.198,111113.6,131414.55,2048,3896,0,0,0,3896,644256.18,586336.63,5109.09,20981.82,23100,8728.64,676.8
6/1/17,21636,58168,29513.6,27133.6,2368,0,2606.43,65548.799,106811.998,157201.82,2496,7764.8,0,0,0,7764.8,551004.05,442374.96,0,19509.09,76136.36,12983.64,1268.8
6/2/17,18724,29718.759,13122.4,12404,718.4,0,2760.87,51259.84,10254.4,49909.09,2624,1922.65,0,0,0,1922.65,214771.86,89246.71,17170.13,9236.36,36190.91,62927.74,552
6/3/17,18876.2,0,0,0,0,0,1041.22,79932.709,0,0,2880,1491.4,0,0,0,1491.4,136000.62,67408.81,17788.18,1154.55,39981.82,9667.28,1819.2
6/4/17,14864,0,0,0,0,0,2593.74,50230.798,0,0,1280,4569.38,0,0,0,4569.38,124687.48,41768.85,18874.09,0,59272.73,4771.82,2702.4
6/5/17,16592,0,0,0,0,0,153.22,24089.2,0,0,1920,786.78,0,0,0,786.78,196781.21,107578.7,37178.87,12354.55,34054.55,5614.55,144
6/6/17,24580,35859.999,3688,2404,1284,0,849.57,43138.997,351600.69,28768.18,4800,3516.2,0,0,0,3516.2,313133.18,184812.27,36468.18,10545.45,75958.18,4964.55,970.4
6/7/17,23368,113855.59,9948,8092,1856,0,2656.52,78842.229,71626.4,77668.19,4400,9984.82,3970,0,0,4726.82,513196.91,207923.28,24856.36,67268.18,67231.82,145917.27,850.4
6/8/17,21884,37156.7,9044,8036,1008,0,1781.91,71998.398,375282.399,153036.37,5760,1378.6,0,0,0,90.6,369818.38,227575.64,25290,90762.73,21559.09,4630.91,1516.8
6/9/17,24994.4,49150.55,15996,15252,744,0,4810.26,84015.988,6337.6,50572.72,6144,2750.53,0,0,0,662.53,328470.99,134302.81,27038.18,98809.09,54177.27,14143.64,1613.6
6/10/17,24108,69536.958,0,0,0,0,2577.74,77078.398,612380.97,0,4800,1521.8,0,0,0,1521.8,252516.87,97518.69,25285.46,65613.64,53259.09,10840,407.2
6/11/17,14156,15641.44,0,0,0,0,2688.87,38187.2,0,0,1600,2320.6,0,0,0,1120.6,177742.96,77074.78,9660,50840.91,34163.64,6003.64,1283.2
6/12/17,20820,69647.187,5132.8,3892,1240.8,0,701.22,55154.799,2996,37431.81,1600,2113.73,0,0,0,2113.73,372827.27,235913.18,8891.82,61359.09,57627.27,9035.91,1184.8
6/13/17,22816.8,84697.207,32989.6,28492.8,4496.8,0,1946.09,50001.6,155704.8,126136.37,2288,7592.35,0,0,0,5192.35,395674.55,142918.19,8857.73,95368.18,142304.55,6225.91,300.8
6/14/17,21896,66671.279,29189.6,27356,1833.6,0,2902.26,44975.998,236179.17,126136.36,3008,10660.2,0,0,0,3700.2,449643.83,337351.19,25197.27,40427.27,37281.82,9386.27,753.6
6/15/17,24176,89533.39,24164,22516,1648,0,1709.57,71805.449,36066.4,112653.63,3600,4798.95,0,0,0,4798.95,375883.15,211339.51,15900.91,81563.64,67081.82,0,1284
6/16/17,21264,41515.64,8000,7260,740,0,3804,74710.399,686.4,20904.54,5184,3328.8,0,0,0,3328.8,204787.65,96529.94,18173.17,13950,72059.09,4075.45,2174.4
6/17/17,23860,60941.57,0,0,0,0,2223.65,49191.998,0,0,4080,1081.4,0,0,0,1081.4,205951.45,72899,26005.65,7668.18,89872.73,9505.91,724.8
6/18/17,17049,9246.4,0,0,0,0,1578.78,31386.8,69.57,0,1280,6602.4,0,0,0,6602.4,173125.37,71943.54,16969.09,16386.36,62286.36,5540,774.4
6/19/17,18928,37724.389,5004,4628,376,0,280,49052.238,2348,24381.82,3840,4262.07,0,0,0,1427.07,282351.58,186919.32,23509.09,29800,33086.36,6201.82,1523.2
6/20/17,25328.2,29557.589,2580,2460,120,0,1574.78,54421.2,67720.8,19454.54,2368,2462.8,0,0,0,2270.8,331678.31,188641.96,18841.81,21563.64,97131.82,5499.09,1294.4
6/21/17,20508,56965.129,9116,8692,424,0,2169.91,44684.79,4548.8,39727.27,2560,6263.6,0,0,0,2111.6,286115,182885.46,12991.81,29031.82,62921.82,0,1064
6/22/17,19432,42361.21,4788.8,3921.6,867.2,0,2957.91,50370.02,42250.4,44181.82,1648,428.4,0,0,0,428.4,192610.55,126128.27,22975.91,0,38549.09,4957.27,529.6
6/23/17,21784,38152.34,0,0,0,0,1741.74,62615.609,662.4,4545.45,2176,4753.82,0,0,0,3553.82,188699.59,72095.59,17262.63,0,90163.64,9177.73,1569.6
6/24/17,18168,68608.367,0,0,0,0,510.43,40989.598,0,0,2176,5142.2,0,0,0,3822.2,175182.28,79737.82,23275.82,0,60963.64,11205,479.2
6/25/17,14408,9836,0,0,0,0,2096.07,23390.389,0,0,2768,2305.16,0,0,0,1745.16,139134.17,68354.12,23253.69,0,38754.55,8771.82,696.8
6/26/17,19256,30966.8,0,0,0,0,1209.04,48380.808,0,2045.45,1680,4700.36,0,0,0,4700.36,200544.08,98968.18,21017.71,1427.27,81959.09,0,1391.2
6/27/17,27168,12714,320,240,80,0,1788.17,43199.639,33842.4,4454.55,3520,7113.8,0,0,0,5063.8,263731.05,123117.4,19977.27,4477.27,107782.73,7526.37,276
6/28/17,15996.2,32656.75,5250.4,1973.6,2076.8,1200,1741.39,40730.73,0,15454.55,3392,8315.64,0,0,0,10735.64,156083.6,76714.05,19026.82,9872.73,44995.45,0,273.6
6/29/17,19296,36128.997,160,120,40,0,869.22,61833.14,8992.08,13040.91,2944,4444.82,0,0,0,4444.82,182758.4,72011.69,25702.17,6063.64,71272.73,7708.18,3520.399
6/30/17,14264,27044.409,0,0,0,0,1438.78,35178.379,684.8,0,2240,2042.93,0,0,0,2042.93,137273.64,63331.21,26538.34,0,38768.18,8635.91,472
7/1/17,19892,38753.789,0,0,0,0,88,39527.59,0,2727.27,5184,875.18,0,0,0,875.18,181635.88,59009.22,70193.46,0,38568.18,13865,1053.6
7/2/17,17420,0,0,0,0,0,3470.43,38325.199,0,0,320,4468,0,0,0,4468,149545.72,34188.18,37531.18,0,72200,5626.36,128
7/3/17,12983.2,60,0,0,0,0,709.22,27056.878,0,0,2160,5261.47,0,0,0,6111.47,135909.08,66390.35,40056.92,0,21981.82,8330,316
7/4/17,15100.2,0,0,0,0,0,1512.87,42355.188,0,0,3760,1256,0,0,0,56,155566.76,61745.32,50663.26,0,38154.55,5003.63,3269.6
7/5/17,16379.8,36060.8,0,0,0,0,1503.83,27891.6,0,0,2880,3756,0,0,0,2556,157072.77,50433.72,48576.31,0,51618.18,6444.55,595.2
7/6/17,23176,20249.6,0,0,0,0,1040.87,38549.198,0,0,1920,1490.4,0,0,0,290.4,200886.15,54277.55,44954.98,0,108509.09,0,906.4
7/7/17,25020,5611.2,0,0,0,0,738.26,38879.999,0,0,2480,12716.62,0,0,0,11516.62,207975.79,48608.54,26306.79,0,125622.73,7437.73,1076
7/8/17,20684,49906.4,0,0,0,0,1109.57,38714.409,0,0,960,2854.2,0,0,0,1654.2,169980.33,40096.32,37888.11,0,85340.91,6655,352.16
7/9/17,13884,17420,0,0,0,0,3053.22,16949.189,0,0,320,3420,0,0,0,2220,123544.82,36737.12,25704.06,0,54777.27,6326.36,84
7/10/17,13284,19991.2,0,0,0,0,1353.57,38219.208,0,0,1920,2303.2,0,0,0,1103.2,118504.42,20590.72,40930.06,0,47345.45,9638.18,76
7/11/17,11692,0,0,0,0,0,1221.22,50096.399,0,0,2736,0,0,0,0,6157.45,100261.28,30543.98,22410.03,0,42404.55,4902.73,1316
7/12/17,16432,21248,0,0,0,0,796,38855.69,0,0,1600,3078.55,0,0,0,3078.55,125745.82,26116.24,34841.4,0,60102.73,4685.46,304
7/13/17,21824,23790.4,0,0,0,0,104.87,37010.4,0,0,3520,6198.89,0,0,0,6198.89,177398.9,24487.76,33418.41,0,113993.64,5499.09,1084
7/14/17,18548,0,0,0,0,0,489.39,20243.989,0,0,3136,3236.15,0,0,0,3236.15,166135.4,38272.25,37924.97,1295.45,88986.36,0,658.4
7/15/17,19772,38688,0,0,0,0,727.65,24059.21,0,0,0,5288.29,0,0,0,5288.29,170451.02,37627.42,34292.69,6990.91,85045.45,6494.55,0
7/16/17,24296.2,7300.8,0,0,0,0,1212.87,33599.999,0,0,2304,3758.4,0,0,0,2558.4,209514.52,19387.46,26277.97,34490.91,123777.27,5580.91,287.2
7/17/17,23604,0,0,0,0,0,449.22,33157.52,69828.8,0,320,6475.93,0,0,0,6475.93,190738.2,23007.52,17524.32,34490.91,109259.09,6456.36,861.6
7/18/17,20724,28491.2,0,0,0,0,1730.96,23946.8,0,0,2560,28253,0,0,0,21053,178653.34,18100.41,31991.12,34490.91,88986.36,5084.54,472
7/19/17,20548,39004.8,0,0,0,0,904.52,21639.44,0,0,2560,4419.2,0,0,0,4419.2,168151.01,7781.82,29249.14,34490.91,87142.73,9486.41,32.8
7/20/17,14912.6,25982.4,0,0,0,0,1648.17,14121.2,0,0,1280,1552.44,0,0,0,1552.44,110708.94,10277.28,37726.21,10095.45,47129.09,5480.91,901.6
7/21/17,15752.2,0,0,0,0,0,616,31574.8,0,0,2752,10235.85,0,0,0,6735.85,130753.17,10227.28,42440.44,3300,58222.73,13062.73,680
7/22/17,13176.8,16480,0,0,0,0,1846.78,21499.999,0,0,2240,2372.4,0,0,0,1422.4,99654.51,8626.19,39415.6,0,40963.64,9699.09,250.4
7/23/17,13232,0,0,0,0,0,1002.43,14811.198,0,0,2560,3757.29,0,0,0,3757.29,101451.66,12271.25,26704.03,0,57845.46,4630.91,91.2
7/24/17,19840,36044.8,0,0,0,0,1361.22,23730.398,0,0,3760,5244,0,0,0,5244,166069.76,23700.09,45052.39,0,90595.45,6721.82,1948.8
7/25/17,15980,14203.2,0,0,0,0,2488,21187.599,0,0,2432,4709.6,0,0,0,3509.6,145331.45,29815.46,48648.73,0,60159.09,6708.18,288
7/26/17,14500.2,23043.2,0,0,0,0,708,21666.8,1565.22,0,1920,4484.87,0,0,0,3284.87,111496.49,11986.18,55308.49,0,38181.82,6020,0
7/27/17,17632.2,14120,0,0,0,0,504,49096.799,0,0,3840,8295.78,0,0,0,7095.78,126511.38,11115.23,34672.51,0,75077.27,5646.36,283.2
7/28/17,20155.2,0,0,0,0,0,312.35,21834.389,0,0,6656,6074.8,0,0,0,4874.8,157473.27,29432.36,53466.82,0,62950,11624.09,420
7/29/17,26872,29634.4,0,0,0,0,324,46005.189,0,0,11968,2698.38,0,0,0,1498.38,249514.85,102917.16,77597.25,0,58109.09,10891.36,390.4
7/30/17,22088,0,0,0,0,0,5497.22,28924.808,0,0,5568,4818,0,0,0,3618,180085.32,43604.4,80468.2,0,46400,9612.73,656
7/31/17,18671.65,0,0,0,0,0,2445.39,29667.709,0,0,5888,0,0,0,0,2017.8,190681.67,53048.94,106180.62,0,20550,10902.1,147.6
8/1/17,25427.8,14613.599,0,0,0,0,714.43,34960.33,0,0,7600,6584.11,0,0,0,6584.11,255139.97,55428.98,119833.72,0,65872.73,14004.54,0
8/2/17,24120,62584.789,0,0,0,0,1409.74,32392.039,0,0,5504,3602.33,0,0,0,3602.33,250243.86,78358.64,98630.66,0,67036.36,6218.18,480
8/3/17,22952,26760.81,0,0,0,0,1726.26,47562.879,0,0,2880,3655.02,0,0,0,3655.02,199069.42,36171.52,68390.63,0,88500,6007.27,372
8/4/17,20124,33352.798,0,0,0,0,1340.17,44110.397,0,0,4160,2649.6,0,0,0,2649.6,170976.79,51572.24,60515.45,0,51763.64,7125.45,828
8/5/17,18616,41560,0,0,0,0,1205.04,40357.588,24514.4,0,4928,7157.89,0,0,0,5767.89,158336.76,43795.93,54611.73,1113.64,50827.27,6598.18,922.4
8/6/17,15352,12658.4,0,0,0,0,1125.22,30865.599,0,0,2304,4379.31,0,0,0,4379.31,143454,52356.72,29571.82,0,57409.09,4116.36,1918.4
8/7/17,17772,58114.4,0,0,0,0,1377.39,28705.68,0,0,3072,1804.8,0,0,0,1804.8,160631.11,57532.7,30679.32,0,67272.73,5146.36,0
8/8/17,23548,30553.599,0,0,0,0,760.52,33482.136,0,0,2880,10968.8,0,0,0,8568.8,236910.3,101292.96,51510.07,5018.18,70695.45,8393.63,1406.4
8/9/17,20152,51878.399,0,0,0,0,1339.13,60742.389,0,0,2880,4643.2,0,0,0,943.2,226481.95,110803.48,71739.37,0,34395.46,7043.63,1607.2
8/10/17,25303.2,36381.528,0,0,0,0,1776.17,41336.807,0,0,1408,7019.18,0,0,0,7019.18,242125.02,80324.11,24366.36,0,130840.91,6593.64,1626.4
8/11/17,25616,12966.998,0,0,0,0,1088.87,33765.199,0,0,3584,4840,0,0,0,6040,243804.9,75849.39,62280.05,0,95527.27,10148.18,1117.6
8/12/17,28008.2,57404.718,0,0,0,0,1124.87,44371.19,75683.199,0,4080,7566.31,0,0,0,4366.31,262115.66,110495.12,56790.52,5309.09,79372.73,10148.18,1147.2
8/13/17,17928.2,2184,0,0,0,0,2365.04,29387.99,0,0,1600,5854.73,0,0,0,5854.73,180375.93,80735.72,44178.41,1827.27,48727.27,4907.26,864
8/14/17,19160,14413.6,1269.6,780,355.2,0,704.87,34888,2333.11,12272.73,3840,3369.6,0,0,0,3369.6,234862.54,131590.95,47832.5,11527.27,36722.73,7189.09,1576.8
8/15/17,23112,17863.188,3915.2,2404,1511.2,0,888.52,41455.45,12823.2,33800,4224,6777.6,0,0,0,5577.6,303712.96,167306.59,27445.45,42827.27,57086.36,9047.27,862.4
8/16/17,24303.6,63456.478,4887.2,3192,1695.2,0,963.3,43442.4,0,25618.18,4288,1492.2,0,0,0,1492.2,294392.37,146514.2,43071.82,28200,74826.36,1779.99,892.63
8/17/17,26116,67332.479,7418.4,5688,1725.6,0,1256.52,65687.769,17902.4,47381.82,6352,1910.4,0,0,0,1910.4,257677.45,120987.45,34624.55,33509.09,64067.27,4489.09,0
8/18/17,28200.8,61727.048,3132.8,2196,936.8,0,2902.61,63084.2,0,25309.1,2880,11227.2,0,0,0,11227.2,284751.49,112152.63,37348.41,20077.27,104513.64,10659.54,370.4
8/19/17,25151,77510.019,14276,13612,664,0,1736.17,67451.989,53608.8,29427.27,2440,3491.4,0,0,0,491.4,266028.85,97260.07,61968.32,29231.82,60950,13618.63,360
8/20/17,10642,176,0,0,0,0,4720.1,28255.219,15680.8,0,320,8660,0,0,0,8660,85899.38,28560.49,23617.98,0,28145.45,5575.45,0
8/21/17,20004,19035.279,320,240,80,0,911.65,53866.4,6708.8,18727.27,4096,687.4,0,0,0,687.4,228904.35,111503.33,21798.29,0,89168.18,6434.54,898.8
8/22/17,20707,60739.348,0,0,0,0,2401.39,56656.81,26741.52,21127.27,7104,9460.2,0,0,0,8260.2,374872.55,280167.56,48639.09,9872.73,30859.09,5334.08,1160.8
8/23/17,22692.6,52682.408,6923.2,6228,672.8,0,2592.35,52218.23,16333.6,35346.37,2304,3213.18,0,0,0,3213.18,398373.03,300672.12,22571.81,18340.91,54612.73,2175.46,742.4
8/24/17,25310,57350.17,3243.2,2688,555.2,0,2496.7,69526.318,74580.8,63027.27,1280,8320.8,0,0,0,8320.8,355754.34,197218.88,28610.91,7140.91,118667.27,4116.36,992
8/25/17,26172.2,32691.938,352.8,0,352.8,0,2007.13,47651.997,14265.6,0,4176,6730.4,0,0,0,6730.4,270395.05,89914.98,81441.9,0,86381.82,12656.36,1111.2
8/26/17,22908,79690.569,0,0,0,0,1109.22,61393.796,0,0,4480,2071.2,0,0,0,2071.2,200493.3,69899.03,53096.1,0,64413.64,13084.54,1160.8
8/27/17,18183,0,0,0,0,0,4449.57,33381.91,9556.24,0,2432,3933.6,0,0,0,3933.6,168392.69,55371.96,51745.28,9895.45,46513.64,4866.36,152
8/28/17,18262.8,7458.4,3440,3280,160,0,0,58106.409,5304.8,19454.55,3808,5036.73,0,0,0,5036.73,273811.63,170537.35,65057.92,15581.82,16836.36,5798.18,1046.4
8/29/17,22997,45545.846,3440,3280,160,0,1812,61842,0,34504.55,2696,3362.44,0,0,0,2162.44,376175.04,244693.94,40842.73,35554.55,49504.54,5579.27,352
8/30/17,23652.2,97428.64,9121.6,8022.4,1068,0,3226.61,78693.59,38608,59927.27,7936,3317.4,0,0,0,3317.4,375915.41,202153.23,22261.82,86158.18,51809.09,13533.09,949.6
8/31/17,19089,69013.189,28932,27004,1928,0,2851.3,80538.798,30368.8,139181.82,4848,1056.2,0,0,0,1056.2,298271.32,107979.32,16637.28,128452.73,39818.18,5383.81,3386.4
9/1/17,22463,23054.869,22876,21812,1064,0,1565.74,51287.2,94711.2,95141.82,1920,2129.2,0,0,0,785.2,254627.99,72959.82,10313.64,100986,63295.45,7073.08,581.6
9/2/17,25128,69746.389,0,0,0,0,2260.35,64423.599,89432,31818.18,5760,10002.05,0,0,0,3762.05,264539.62,155795.61,11081.82,22045.82,63754.55,11861.81,1076.8
9/3/17,9112,0,0,0,0,0,2852.52,40322.118,0,0,1280,1686.4,0,0,0,2886.4,114953.36,58340.63,7987.28,19131.82,25377.27,4116.36,904
9/4/17,17696,40944.48,3644.8,3068,577.6,0,538.09,44507.18,0,36581.82,1408,1862.4,0,0,0,2366.4,273509.42,190403.96,9054.55,11461.82,58000,4589.09,2678.4
9/5/17,21031,38655.179,17405.6,16260,1145.6,0,2524.52,72594.399,69011.2,94127.28,2432,1847.6,0,0,0,2127.6,390870.74,318722.56,10845.45,24900,28559.09,7843.64,1254.4
9/6/17,20522,80134.25,6969.6,5000,1969.6,0,2177.04,88248.799,0,68697.27,2560,3633,0,0,0,3633,367174.95,292357.23,777.27,39759.09,32290.91,1990.45,1392.8
9/7/17,22921.6,65725.03,11236.8,9704,1532.8,0,2792,86591.999,76532.8,120669.09,1088,6604.38,0,0,0,6604.38,385003.55,225950.81,3754.55,51213.64,99968.18,4116.36,1130.4
9/8/17,26457.6,90913.968,13322.4,11832,1490.4,0,2731.3,81251.199,0,99436.36,4608,3012.4,0,0,0,2062.4,433476.28,263773.56,4850,45600,58331.82,59970.91,2588.8
9/9/17,22127.2,92232.67,3176.8,840,1736.8,600,1564,101788.249,0,16545.45,6720,1571.82,0,0,0,1571.82,265598.68,222750.49,6672.73,9550,14127.27,12498.18,2452.8
9/10/17,13255.2,0,0,0,0,0,4096.17,47195.179,20500.8,0,1600,1634,0,0,0,1634,138476.42,94350.05,5060,6963.64,25659.09,6443.63,839.2
9/11/17,16607,27853.6,2236,2132,104,0,2053.22,56207.998,2415.2,35127.28,1728,2569,0,0,0,3129,235876.03,175252.39,17239.09,8972.73,27454.55,6957.27,2320
9/12/17,20717.8,33940.8,2936,1820,294.4,800,1523.65,76365.05,0,11545.46,2880,3208.8,0,0,0,2208.8,379448.06,287460.79,39604.55,13090.91,29627.27,8664.54,300
9/13/17,20192.6,87756.958,41378.4,37428,2350.4,1600,2565.91,82559.44,66484,177490.9,3136,2803,0,0,0,2803,419405.16,292697.88,33217.27,54800,30882.73,7807.27,727.2
9/14/17,14060,30682.199,39356,36436,2120,800,3327.48,91795.988,23123.2,171254.55,5184,10441.04,0,0,0,10441.04,206937.87,140175.59,21224.54,29550,4254.55,11733.18,1902.8
9/15/17,26560,39321.668,24792,23704,1088,0,1920.52,76088.557,36075.2,128345.45,5824,2419.6,0,0,0,2419.6,310585.96,77332.78,13425.46,131900,80709.09,7218.64,232
9/16/17,26000,96720.889,23392,22304,1088,0,1625.22,97551.188,212623.2,62254.55,4160,3772.2,0,0,0,3772.2,297142.6,64263.97,12173.64,134895.46,79645.45,6164.09,1872.8
9/17/17,13182.2,0,0,0,0,0,4443.72,37318.319,0,0,1280,1963.6,0,0,0,1963.6,196064.24,37984.24,6340.91,130131.81,17490.91,4116.36,0
9/18/17,15886,24739.2,0,0,0,0,132,53339.988,153784,92272.73,4544,4121,0,0,0,4121,259035.64,119322,18006.36,103190.91,14400,4116.36,192
9/19/17,21688,28542.57,16720,15532.8,1122.4,0,1870.78,74553.199,36644.8,74381.81,5056,5442.64,0,0,0,5442.64,346664.61,184059.34,13677.27,114300,27981.82,6646.19,1717.2
9/20/17,19824,91857.829,12007.2,9932,692.8,1200,2965.39,97809.609,24808,60906.81,4928,8936.04,0,0,0,7936.04,279819.59,155049.6,12345.45,32509.1,83676.36,0,2877.6
9/21/17,19160,87351.988,48625.6,43508,5117.6,0,2393.39,80961.598,59011.2,175271.82,6592,4683.13,0,0,0,2283.13,255243.04,126370.32,16479.55,42822.72,57431.82,5302.45,1060
9/22/17,20449.6,56311.24,7807.2,7112,695.2,0,1451.13,81553.788,3660,44120.9,6784,3324.8,0,0,0,2534.8,185367.82,96190.55,16050,17827.27,40005.45,14504.55,603.2
9/23/17,25800,73270.878,0,0,0,0,1042.61,103132.788,30340,0,3520,324,0,0,0,324,235615.58,165897.85,17694.54,8395.46,28159.09,15468.63,1232
9/24/17,11268,0,0,0,0,0,3654.61,38089.918,0,9090.91,640,1043,0,0,0,1043,98562.21,52968.58,7618.18,21322.73,13250,3402.72,0
9/25/17,12356,16995.2,5021.6,4468,553.6,0,1840.7,61983.199,147667.2,50727.27,1728,1583.2,0,0,0,1583.2,209802.32,132962.32,11103.64,61307.27,0,4429.09,803.2
9/26/17,14768,32247.199,63000.8,56192,6808.8,0,2737.57,67739.67,10328,151943.63,3952,1751.2,0,0,0,1751.2,283962.2,211308.56,19252.72,42881.82,2100.91,8418.18,1416.8
9/27/17,18763,62720.318,10940.8,9078.4,1862.4,0,1631.13,80071.838,96016.8,152376.37,3392,1840.8,0,0,0,1840.8,338769.23,203531.95,18583.64,111272.73,0,5207.27,608.8
9/28/17,20096,31939.07,57996,54596,3400,0,2359.13,83030.4,49876,162854.55,1400,858.4,0,0,0,858.4,320593.54,112415.36,10620,172436.36,20490.91,4630.91,1599.2
9/29/17,18251.2,71088.729,57831.2,54572,3259.2,0,2142.05,87266.846,111332.8,159001.81,6016,6795.2,0,0,0,6795.2,188453.29,67311.47,49428.18,51017.73,10127.27,10568.64,0
9/30/17,18152,59526.219,20124,19188,936,0,1471.65,95637.199,5554.4,47572.72,5760,2259.78,0,0,0,2259.78,166933.53,62932.16,56937.28,21840.91,10127.27,15095.91,0
