Date,258_0_RV,259_0_RV,260_0_RV,260_1038_RV,260_1039_RV,260_1040_RV,261_0_RV,265_0_RV,266_0_RV,269_0_RV,270_0_RV,273_0_RV,273_278_RV,273_279_RV,273_280_RV,273_281_RV,50_0_RV,50_224_RV,50_225_RV,50_226_RV,50_227_RV,50_228_RV,854_0_RV
1/11/17,19515.3,23166.4,9968,9100,868,0,1794.09,74224.209,17692.8,20877.27,2352,989.2,0,0,0,989.2,253075.74,133469.64,64324.29,37560,11409.09,6312.72,1640
1/12/17,11336,17944.2,41947.2,38357.6,3589.6,0,3658.96,88648.009,66834.398,92608.19,3096,151,0,0,0,151,151883.59,83598.74,39261.67,6772.73,9172.73,13077.72,825.6
1/13/17,13064,24877.21,9244.8,8575.2,669.6,0,1158.78,82907.458,12023.2,27235.46,3664,7876.11,0,0,0,3396.11,118633.45,57491.35,40423.45,5050,0,11188.63,408
1/14/17,17356,42754.837,1632,1080,552,0,1487.65,107044.79,153472.787,6790.91,6336,5351,0,0,0,51,142911.43,87357.71,33710.55,5050,0,16293.18,2226.4
1/15/17,6532,0,1632,1080,552,0,3227.48,52567.99,0,6790.91,1088,16,0,0,0,16,51031.62,32672.7,10690.74,0,0,7668.18,942.4
1/16/17,10604,23800.8,4272,3900,372,0,479.13,62356.798,0,14350,1536,1188,0,0,0,1188,131066.16,92179.35,18555,0,10400,9931.82,749.6
1/17/17,9832,38776.98,10422.4,7280,1942.4,0,1251.13,64920.008,2399.2,22029.08,1528,804,0,0,0,234,169712.94,138968.85,22823.18,0,0,7350.91,1310.4
1/18/17,17160,41257.17,0,0,0,0,1376.86,76079.319,104298.4,18636.36,3120,329,0,0,0,329,279865.4,168751.97,27441.65,85690.91,0,0,862
1/19/17,14780,101405.597,41452,35688,5764,0,2388.7,85106.01,167509.5,104482.18,4680,639,0,0,0,639,209840.36,138842.25,19259.03,36545.45,0,15193.63,985.6
1/20/17,14544,85093.92,59428,53540,5816,0,2038.61,89548.007,114579.199,112872.72,6308.8,400,0,0,0,400,142540.55,88347.35,20985.01,17359.09,0,15849.09,911.2
1/21/17,18384,82085.65,8662.4,5080,3582.4,0,1976.7,113520.397,35577.999,13636.36,5824,220,0,0,0,220,167016.3,92637.65,36725.91,19559.09,1887.27,16206.36,519.2
1/22/17,5056,1080.8,0,0,0,0,3272,59131.379,0,0,960,120,0,0,0,120,52005.68,37457.49,7802.73,1100,0,5645.45,304
1/23/17,11577.6,14460.388,1949.6,1968,0,0,732.7,62320.8,0,14164.54,3520,2669.73,0,0,0,2669.73,143967.35,107870.52,19441.36,6863.64,9560.91,230.91,641.6
1/24/17,17230.4,62474.8,52688,48100,4588,0,1030.78,85689.59,172176.009,72013.64,8160,4293.2,0,0,0,1093.2,276549,221197.63,23900.45,25472.73,0,5978.18,2312
1/25/17,20300.8,51788.78,35744,32500,3100,0,2466.44,91604.645,52800.8,40171.82,8384,151,0,0,0,151,322925.68,252678.41,10338.18,48909.09,5661.82,5338.18,860
1/26/17,16756.8,75225,22136,18491.2,2844.8,0,2376.35,87445.839,172160.8,95505.46,6112,16170,15000,0,0,1170,273138.82,140089.72,8924.54,80140.91,35145.45,8838.18,906.4
1/27/17,18072,63320.709,16102.4,14304,1798.4,0,1331.82,96862.957,11092,40704.54,4160,0,0,0,0,0,185800.46,50398.19,4845.45,0,114868.18,15688.63,2159.21
1/28/17,20572,88368.588,0,0,0,0,870.43,114940.009,74679.2,0,4992,190.28,0,0,0,190.28,212675.57,67418.75,7268.18,1281.82,120227.27,16479.54,796
1/29/17,6048.8,1284,0,0,0,0,3683.3,52258.4,52954.4,0,240,151.2,0,0,0,151.2,68720.4,41652.21,5203.63,14018.18,0,7950.91,735.2
